gene	p
XKR4	0.0374317386559
FGF19	0.999683744465528
RPS20	0.00136665847854
WDPCP:AC096664.1	0.989247311827957
ORAOV1	0.999367488931056
RP11-446E9.2	0.000198971099577
ZGPAT:RP4-583P15.15	0.000175683105606
CTA-397H3.3	9.35297987789e-05
FAM57A	9.0367028126e-05
WDPCP:MDH1	0.97786211258697
ZBTB46	0.968690702087287
SKAP1:AC090627.1	2.30552587136e-05
WDR52:WDR52-AS1	0.975964579380139
LYN	1.31144475341e-05
FAM162B	0.989563567362429
CTB-102L5.4	0.956672991777356
PSMD8	4.91620517926e-06
KRT8P25	4.25304521683e-06
RP11-81K2.1:RP11-1079K10.2	3.50275692217e-06
PRKCI	3.39132959622e-06
GPRC6A	0.991777356103732
WDR52	0.894370651486401
CATSPERG	1.75153975894e-06
PLAG1	0.864010120177103
SPICE1	0.9471853257432
POU1F1	6.52920042165e-07
TH	6.42554545232e-07
DBIL5P2	0.845034788108792
CHMP2B	0.865591397849462
RP11-430C7.4	0.934218848829855
SIDT1:SIDT1-AS1	2.62591098512e-07
GGN	1.80971422452e-07
AC016753.7	0.78336495888678
SNX11	1.18688871345e-07
RTEL1:RTEL1-TNFRSF6B	0.731815306767868
MDM4:RNA5SP74	7.37190958424e-08
RP11-469J4.3	0.715370018975332
RN7SL541P	0.713156230234029
SNORA3	0.689120809614168
AC005022.1	0.995572422517394
RFX6	0.96078431372549
RN7SL13P	0.80550284629981
HOXB1	0.66888045540797
VPS53	0.846932321315623
WDPCP	0.999367488931056
SIDT1	0.83270082226439
RP11-292F22.5	0.724225173940544
KRT78	0.701138519924099
VAMP5	0.665401644528779
RP11-433M22.2	1.6338041693e-08
MDM4	0.92314990512334
PDLIM5	0.891208096141683
SLC2A4RG	1.12364726749e-08
RN7SL830P	0.785578747628084
RNU6-456P	8.03156169923e-09
Y_RNA	8.00257955071e-09
CSMD1	7.79058373808e-09
MAT2A	0.683428209993675
GMEB2	0.608791903858317
PIK3C2B	0.780202403542062
CTD-3184A7.4	4.67304539632e-09
GGCX	0.685641998734978
PPATP1	0.796331435800127
CCND1	0.736242884250474
RP11-328M4.2:FOXP4	0.593295382669197
RP11-556I14.1	1.40708392001e-09
VAMP8	0.714421252371916
CALCOCO2	1.07282775359e-09
RP11-328M4.2	0.616698292220114
MIR4795	0.871600253004428
LMTK2	0.81056293485136
STMN3	0.552498418722328
TTLL6	4.60044666393e-11
SPINT2	0.713156230234029
SPINT2:PPP1R14A	0.537001897533207
CASC8:RP11-382A18.2	0.627450980392157
B4GALNT2	3.06407929381e-11
RP11-511I11.2	2.41880022315e-11
RPL7P41	0.714104996837445
RP11-543D10.2	0.427261227071474
JAZF1	0.742884250474383
FOXP4	0.680265654648956
RP11-583M2.2	0.599304237824162
ASCL2	0.603731815306768
ITGA6:AC093818.1	0.444339025932954
EHBP1	0.417773561037318
KRT8	0.475332068311195
AC093818.1	0.58191018342821
CTD-2194D22.4	0.447817836812144
ITGA6	0.613219481340924
CCAT1	0.359582542694497
OTX1	7.1318138668e-14
NKX3-1	0.467425679949399
TERT	0.456356736242884
TET2	0.43516761543327
AC004069.2	3.77050915833e-14
COPZ2	1.12227683835e-15
BIK	0.43010752688172
RP11-357H14.17	1.8395008803e-16
SKIL	0.265022137887413
RP11-554A11.8:RP11-554A11.9	0.325743200506009
CTD-2377D24.8	1.46723608691e-16
CASC17	0.753953194180898
RP11-554A11.7	0.337444655281467
RP11-115K3.1	0.220746363061354
AC011523.2	0.314674256799494
PCAT1	0.5
SLC22A1	0.148007590132827
MIR4686	0.518975332068311
AGAP7	0.346616065781151
RP11-481A12.2	0.221695129664769
RP11-109G10.2	0.277988614800759
SUMO2P17	1.61064563518e-26
KLK2	0.0562934851359899
KLK3	0.105629348513599
MYEOV	0.192599620493359
CASC8:POU5F1B	0.0838077166350412
RP11-554A11.8	0.313409234661607
HNF1B	0.114484503478811
HOXB13	8.82673320721e-33
MSMB	0.0309930423782416
CASC19	0.021505376344086
PRNCR1	0.0917141049968374
CASC8	0.193548387096774
PCAT2	0.0104364326375712
