Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_EMBRYONIC_ORGAN_DEVELOPMENT	420	14	9.189378922128213e-08	0.0006754193507764237	TH:ASCL2:KRT8:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:SPINT2:OTX1:WDPCP	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_ORGAN_DEVELOPMENT
GO_bp	GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	210	10	2.8382749503215886e-07	0.0007223907722180479	HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:OTX1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION
GO_bp	GO_EMBRYO_DEVELOPMENT	971	20	3.7593602309203795e-07	0.0007223907722180479	TH:ASCL2:KRT8:HNF1B:ITGB3:ITGB3:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:ITGA3:SPINT2:OTX1:WDPCP:STMN3:ARFRP1:SKIL:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYO_DEVELOPMENT
GO_bp	GO_REGULATION_OF_GLIAL_CELL_PROLIFERATION	29	5	5.300754831830698e-07	0.0007223907722180479	ASCL2:PRKCI:TERT:LYN:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_GLIAL_CELL_PROLIFERATION
GO_bp	GO_EMBRYONIC_ORGAN_MORPHOGENESIS	283	11	5.358997723846914e-07	0.0007223907722180479	TH:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:OTX1:WDPCP	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_ORGAN_MORPHOGENESIS
GO_bp	GO_EMBRYONIC_MORPHOGENESIS	566	15	5.897067528310596e-07	0.0007223907722180479	TH:HNF1B:ITGB3:ITGB3:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:ITGA3:SPINT2:OTX1:WDPCP:ARFRP1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_MORPHOGENESIS
GO_bp	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	94	7	9.60289253248941e-07	0.0010083037159113882	HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS
GO_bp	GO_ANIMAL_ORGAN_MORPHOGENESIS	1016	19	3.2078778427132006e-06	0.0029269959582075332	TH:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:HOXB13:PHOSPHO1:PSMD8:OTX1:WDPCP:ITGA6:PRKCI:IRX4:NKX3-1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ANIMAL_ORGAN_MORPHOGENESIS
GO_bp	GO_GLIAL_CELL_PROLIFERATION	42	5	3.5840766835194285e-06	0.0029269959582075332	ASCL2:PRKCI:TERT:LYN:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_GLIAL_CELL_PROLIFERATION
GO_bp	GO_RHOMBOMERE_DEVELOPMENT	7	3	5.847380289088237e-06	0.004297824512479855	HOXB1:HOXB2:HOXB3	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RHOMBOMERE_DEVELOPMENT
GO_bp	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	126	7	6.843579470914599e-06	0.004572755373747482	HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT
