Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	1689	6	0.957896204826993	1	ENSG00000004897:ENSG00000005243:ENSG00000260027:ENSG00000115504:ENSG00000091409:ENSG00000183807
DEG.up	Adipose_Visceral_Omentum	1428	15	0.0312711861948089	1	ENSG00000170421:ENSG00000111057:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000064300:ENSG00000167641:ENSG00000167644:ENSG00000091409:ENSG00000130584:ENSG00000013297:ENSG00000183807
DEG.up	Adrenal_Gland	1204	11	0.128951993198296	1	ENSG00000180176:ENSG00000141293:ENSG00000173917:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000167641:ENSG00000174562:ENSG00000197457:ENSG00000185002:ENSG00000153814
DEG.up	Artery_Aorta	2103	20	0.034721738753966	1	ENSG00000110092:ENSG00000170421:ENSG00000259207:ENSG00000178852:ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000260027:ENSG00000121067:ENSG00000005884:ENSG00000167642:ENSG00000167641:ENSG00000179168:ENSG00000188766:ENSG00000258366:ENSG00000136603:ENSG00000163110:ENSG00000137166:ENSG00000153814
DEG.up	Artery_Coronary	1593	13	0.19047582406652	1	ENSG00000110092:ENSG00000170421:ENSG00000111057:ENSG00000259207:ENSG00000005243:ENSG00000173917:ENSG00000064300:ENSG00000005884:ENSG00000167641:ENSG00000188766:ENSG00000136603:ENSG00000163110:ENSG00000137166
DEG.up	Artery_Tibial	2175	16	0.275734603476058	1	ENSG00000110092:ENSG00000004897:ENSG00000259207:ENSG00000005243:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167641:ENSG00000152256:ENSG00000083937:ENSG00000136603:ENSG00000163110:ENSG00000043143:ENSG00000137166:ENSG00000153814
DEG.up	Bladder	728	4	0.668900677659283	1	ENSG00000170421:ENSG00000260027:ENSG00000121104:ENSG00000167641
DEG.up	Brain_Amygdala	1438	5	0.950649151839027	1	ENSG00000011332:ENSG00000188766:ENSG00000197457:ENSG00000013297:ENSG00000183117
DEG.up	Brain_Anterior_cingulate_cortex_BA24	1866	6	0.979714122723054	1	ENSG00000170382:ENSG00000011332:ENSG00000188766:ENSG00000197457:ENSG00000072858:ENSG00000183117
DEG.up	Brain_Caudate_basal_ganglia	1703	6	0.960185412009564	1	ENSG00000170382:ENSG00000180176:ENSG00000011332:ENSG00000197457:ENSG00000013297:ENSG00000183117
DEG.up	Brain_Cerebellar_Hemisphere	4248	22	0.865864374545472	1	ENSG00000170382:ENSG00000141252:ENSG00000121067:ENSG00000005882:ENSG00000011332:ENSG00000167642:ENSG00000099338:ENSG00000188766:ENSG00000115504:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000072858:ENSG00000163558:ENSG00000043143:ENSG00000153814:ENSG00000164715:ENSG00000205356:ENSG00000183117
DEG.up	Brain_Cerebellum	4055	21	0.85958680934443	1	ENSG00000170382:ENSG00000141252:ENSG00000005882:ENSG00000011332:ENSG00000167642:ENSG00000099338:ENSG00000188766:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000072858:ENSG00000043143:ENSG00000153814:ENSG00000164715:ENSG00000205356:ENSG00000183117:ENSG00000206579:ENSG00000181690
DEG.up	Brain_Cortex	2159	7	0.985315578151049	1	ENSG00000170382:ENSG00000011332:ENSG00000188766:ENSG00000197457:ENSG00000072858:ENSG00000164715:ENSG00000183117
DEG.up	Brain_Frontal_Cortex_BA9	2422	8	0.988046087310282	1	ENSG00000170382:ENSG00000011332:ENSG00000188766:ENSG00000197457:ENSG00000072858:ENSG00000164715:ENSG00000183117:ENSG00000206579
DEG.up	Brain_Hippocampus	1542	6	0.925820828635689	1	ENSG00000170382:ENSG00000011332:ENSG00000188766:ENSG00000197457:ENSG00000013297:ENSG00000183117
DEG.up	Brain_Hypothalamus	1979	8	0.935301523456588	1	ENSG00000170382:ENSG00000180176:ENSG00000011332:ENSG00000188766:ENSG00000197457:ENSG00000072858:ENSG00000013297:ENSG00000183117
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	1834	5	0.991532400513762	1	ENSG00000170382:ENSG00000180176:ENSG00000011332:ENSG00000197457:ENSG00000183117
DEG.up	Brain_Putamen_basal_ganglia	1346	4	0.972027511375783	1	ENSG00000011332:ENSG00000197457:ENSG00000013297:ENSG00000183117
DEG.up	Brain_Spinal_cord_cervical_c-1	1611	7	0.883764461798223	1	ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000262039:ENSG00000167641:ENSG00000197457:ENSG00000013297
DEG.up	Brain_Substantia_nigra	1277	7	0.689763738105923	1	ENSG00000180176:ENSG00000262039:ENSG00000011332:ENSG00000167641:ENSG00000197457:ENSG00000013297:ENSG00000183117
DEG.up	Breast_Mammary_Tissue	1428	11	0.274667702044629	1	ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000120068:ENSG00000064300:ENSG00000142515:ENSG00000091409:ENSG00000100290:ENSG00000163611:ENSG00000113430:ENSG00000183807
DEG.up	Cells_Cultured_fibroblasts	3686	16	0.964432469924385	1	ENSG00000110092:ENSG00000167695:ENSG00000004897:ENSG00000259207:ENSG00000005243:ENSG00000173917:ENSG00000260027:ENSG00000159184:ENSG00000159210:ENSG00000167645:ENSG00000188766:ENSG00000115504:ENSG00000115486:ENSG00000163558:ENSG00000013297:ENSG00000181690
DEG.up	Cells_EBV-transformed_lymphocytes	3833	17	0.960200980201551	1	ENSG00000133056:ENSG00000167695:ENSG00000004897:ENSG00000002919:ENSG00000141293:ENSG00000121104:ENSG00000167645:ENSG00000118640:ENSG00000152256:ENSG00000203896:ENSG00000100290:ENSG00000163611:ENSG00000072858:ENSG00000168769:ENSG00000043143:ENSG00000180535:ENSG00000254087
DEG.up	Cervix_Ectocervix	187	0	1	1	
DEG.up	Cervix_Endocervix	1723	12	0.385714304730292	1	ENSG00000149716:ENSG00000173917:ENSG00000121067:ENSG00000167641:ENSG00000115486:ENSG00000091409:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000163611:ENSG00000183807:ENSG00000153814
DEG.up	Colon_Sigmoid	1264	17	0.00205619938640248	0.111034766865734	ENSG00000170382:ENSG00000259207:ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000159182:ENSG00000159184:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000167641:ENSG00000115504:ENSG00000153814:ENSG00000206579
DEG.up	Colon_Transverse	1128	20	1.92275414010197e-05	0.00103828723565506	ENSG00000170382:ENSG00000183734:ENSG00000170421:ENSG00000111057:ENSG00000259207:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000159182:ENSG00000159184:ENSG00000170703:ENSG00000167080:ENSG00000167644:ENSG00000174562:ENSG00000142515:ENSG00000091409:ENSG00000100290
DEG.up	Esophagus_Gastroesophageal_Junction	1016	10	0.10102203769517	1	ENSG00000170421:ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000121067:ENSG00000167641:ENSG00000115504:ENSG00000153814:ENSG00000206579
DEG.up	Esophagus_Mucosa	1755	8	0.865613122103516	1	ENSG00000110092:ENSG00000111057:ENSG00000167695:ENSG00000167642:ENSG00000167644:ENSG00000118640:ENSG00000100290:ENSG00000113430
DEG.up	Esophagus_Muscularis	1043	11	0.0599678728475204	1	ENSG00000170421:ENSG00000259207:ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000121067:ENSG00000167641:ENSG00000115504:ENSG00000153814:ENSG00000206579
DEG.up	Fallopian_Tube	451	2	0.774880325977631	1	ENSG00000260027:ENSG00000101216
DEG.up	Heart_Atrial_Appendage	572	3	0.69546168762878	1	ENSG00000170421:ENSG00000064300:ENSG00000163110
DEG.up	Heart_Left_Ventricle	395	2	0.708363940522142	1	ENSG00000163110:ENSG00000113430
DEG.up	Kidney_Cortex	948	14	0.00225150904023452	0.121581488172664	ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000170703:ENSG00000167080:ENSG00000167642:ENSG00000118640:ENSG00000203896
DEG.up	Kidney_Medulla	93	5	0.000286905544441616	0.0154928993998473	ENSG00000170421:ENSG00000111057:ENSG00000005884:ENSG00000167642:ENSG00000118640
DEG.up	Liver	1090	7	0.52164963908787	1	ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000115486:ENSG00000118640:ENSG00000203896:ENSG00000175003
DEG.up	Lung	3029	20	0.424073882076739	1	ENSG00000133056:ENSG00000110092:ENSG00000170421:ENSG00000111057:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000005884:ENSG00000167642:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115486:ENSG00000118640:ENSG00000243509:ENSG00000136603:ENSG00000168769:ENSG00000183807:ENSG00000205356:ENSG00000254087
DEG.up	Minor_Salivary_Gland	1285	19	0.000346383068857099	0.0187046857182834	ENSG00000170421:ENSG00000111057:ENSG00000064300:ENSG00000167642:ENSG00000167644:ENSG00000115507:ENSG00000118640:ENSG00000091409:ENSG00000100290:ENSG00000206530:ENSG00000163611:ENSG00000072858:ENSG00000163558:ENSG00000113430:ENSG00000173612:ENSG00000180535:ENSG00000167034:ENSG00000254087:ENSG00000181690
DEG.up	Muscle_Skeletal	879	2	0.975544577987277	1	ENSG00000005882:ENSG00000163110
DEG.up	Nerve_Tibial	4157	26	0.525213825150836	1	ENSG00000198625:ENSG00000170382:ENSG00000110092:ENSG00000178852:ENSG00000005243:ENSG00000260027:ENSG00000064300:ENSG00000005884:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000091409:ENSG00000243509:ENSG00000101246:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000013297:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000206579:ENSG00000181690
DEG.up	Ovary	3674	17	0.937090207864018	1	ENSG00000198625:ENSG00000149716:ENSG00000121104:ENSG00000167642:ENSG00000167641:ENSG00000115504:ENSG00000115486:ENSG00000152256:ENSG00000197457:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000013297:ENSG00000043143:ENSG00000181690
DEG.up	Pancreas	549	7	0.0555764861421844	1	ENSG00000170421:ENSG00000111057:ENSG00000167642:ENSG00000118640:ENSG00000185002:ENSG00000180535:ENSG00000205356
DEG.up	Pituitary	3253	21	0.46459540429639	1	ENSG00000170382:ENSG00000180176:ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000005884:ENSG00000167642:ENSG00000188766:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000203896:ENSG00000130584:ENSG00000064835:ENSG00000206530:ENSG00000163611:ENSG00000072858:ENSG00000136603:ENSG00000013297:ENSG00000205356:ENSG00000181690
DEG.up	Prostate	2019	22	0.0061457965356266	0.331873012923836	ENSG00000183734:ENSG00000110092:ENSG00000170421:ENSG00000111057:ENSG00000159182:ENSG00000159184:ENSG00000064300:ENSG00000167642:ENSG00000174562:ENSG00000142515:ENSG00000167751:ENSG00000118640:ENSG00000203896:ENSG00000100290:ENSG00000206530:ENSG00000163611:ENSG00000072858:ENSG00000163110:ENSG00000113430:ENSG00000137166:ENSG00000180535:ENSG00000167034
DEG.up	Skin_Not_Sun_Exposed_Suprapubic	2037	16	0.195857915726513	1	ENSG00000133056:ENSG00000198625:ENSG00000183734:ENSG00000110092:ENSG00000167695:ENSG00000005884:ENSG00000167642:ENSG00000167644:ENSG00000115507:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000100290:ENSG00000168769:ENSG00000113430:ENSG00000164715
DEG.up	Skin_Sun_Exposed_Lower_leg	2163	16	0.268335408940915	1	ENSG00000133056:ENSG00000183734:ENSG00000110092:ENSG00000149716:ENSG00000111057:ENSG00000167695:ENSG00000005884:ENSG00000167642:ENSG00000167644:ENSG00000115507:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000168769:ENSG00000113430:ENSG00000164715
DEG.up	Small_Intestine_Terminal_Ileum	1855	20	0.0101503996417702	0.548121580655593	ENSG00000133056:ENSG00000170382:ENSG00000183734:ENSG00000162344:ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000167080:ENSG00000262039:ENSG00000167644:ENSG00000091409:ENSG00000100290:ENSG00000072858:ENSG00000254087:ENSG00000181690
DEG.up	Spleen	2666	25	0.0214752742053368	1	ENSG00000133056:ENSG00000198625:ENSG00000170382:ENSG00000149716:ENSG00000002919:ENSG00000141293:ENSG00000120093:ENSG00000173868:ENSG00000262039:ENSG00000064300:ENSG00000121104:ENSG00000167645:ENSG00000118640:ENSG00000197457:ENSG00000243509:ENSG00000101246:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000072858:ENSG00000043143:ENSG00000180535:ENSG00000205356:ENSG00000254087:ENSG00000181690
DEG.up	Stomach	780	12	0.0033678607457296	0.181864480269398	ENSG00000170421:ENSG00000111057:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000167080:ENSG00000167644:ENSG00000100290:ENSG00000137166:ENSG00000185002:ENSG00000180535
DEG.up	Testis	5947	24	0.997581557291251	1	ENSG00000170382:ENSG00000141252:ENSG00000178852:ENSG00000141293:ENSG00000170703:ENSG00000173868:ENSG00000121104:ENSG00000011332:ENSG00000167642:ENSG00000167641:ENSG00000099338:ENSG00000179168:ENSG00000174562:ENSG00000167751:ENSG00000115504:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000206530:ENSG00000013297:ENSG00000164362:ENSG00000137166:ENSG00000183117:ENSG00000167034
DEG.up	Thyroid	3732	32	0.0298451807573895	1	ENSG00000198625:ENSG00000149716:ENSG00000170421:ENSG00000111057:ENSG00000004897:ENSG00000259207:ENSG00000178852:ENSG00000005243:ENSG00000002919:ENSG00000167080:ENSG00000064300:ENSG00000005884:ENSG00000167642:ENSG00000167644:ENSG00000174562:ENSG00000167751:ENSG00000115486:ENSG00000118640:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000137166:ENSG00000183807:ENSG00000254087
DEG.up	Uterus	3999	31	0.102285624249301	1	ENSG00000133056:ENSG00000198625:ENSG00000170382:ENSG00000183734:ENSG00000149716:ENSG00000259207:ENSG00000173917:ENSG00000120093:ENSG00000108511:ENSG00000260027:ENSG00000121067:ENSG00000121104:ENSG00000167641:ENSG00000115504:ENSG00000115486:ENSG00000091409:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814
DEG.up	Vagina	2013	17	0.118474664318018	1	ENSG00000133056:ENSG00000183734:ENSG00000111057:ENSG00000167695:ENSG00000173917:ENSG00000260027:ENSG00000159182:ENSG00000159184:ENSG00000167644:ENSG00000091409:ENSG00000100290:ENSG00000163611:ENSG00000168769:ENSG00000113430:ENSG00000183807:ENSG00000153814:ENSG00000181690
DEG.up	Whole_Blood	1299	10	0.289012929330339	1	ENSG00000183734:ENSG00000002919:ENSG00000141293:ENSG00000173868:ENSG00000121104:ENSG00000118640:ENSG00000203896:ENSG00000168769:ENSG00000175003:ENSG00000254087
DEG.down	Adipose_Subcutaneous	1307	7	0.712986929870992	1	ENSG00000170382:ENSG00000170421:ENSG00000141293:ENSG00000167642:ENSG00000203896:ENSG00000072858:ENSG00000167034
DEG.down	Adipose_Visceral_Omentum	1400	3	0.993820651425949	1	ENSG00000167642:ENSG00000206530:ENSG00000164715
DEG.down	Adrenal_Gland	2994	19	0.502204840609135	1	ENSG00000133056:ENSG00000170382:ENSG00000167695:ENSG00000178852:ENSG00000121104:ENSG00000167644:ENSG00000115504:ENSG00000091409:ENSG00000243509:ENSG00000203896:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000205356
DEG.down	Artery_Aorta	1323	6	0.84027836156173	1	ENSG00000170382:ENSG00000141293:ENSG00000167751:ENSG00000091409:ENSG00000013297:ENSG00000183807
DEG.down	Artery_Coronary	863	6	0.450536383747624	1	ENSG00000170382:ENSG00000141293:ENSG00000260027:ENSG00000072858:ENSG00000167034:ENSG00000181690
DEG.down	Artery_Tibial	1746	15	0.124348753487408	1	ENSG00000170421:ENSG00000167695:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000167644:ENSG00000167645:ENSG00000118640:ENSG00000197457:ENSG00000203896:ENSG00000130584:ENSG00000013297:ENSG00000183807:ENSG00000167034:ENSG00000254087
DEG.down	Bladder	103	0	1	1	
DEG.down	Brain_Amygdala	6995	40	0.782597555853006	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000111057:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000002919:ENSG00000136436:ENSG00000159202:ENSG00000159210:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000258366:ENSG00000101246:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000164715:ENSG00000254087
DEG.down	Brain_Anterior_cingulate_cortex_BA24	6003	32	0.881536215579644	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000136436:ENSG00000173868:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000125520:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000254087
DEG.down	Brain_Caudate_basal_ganglia	6174	37	0.646064662547132	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000136436:ENSG00000159202:ENSG00000064300:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115504:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000072858:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000167034:ENSG00000254087
DEG.down	Brain_Cerebellar_Hemisphere	2381	18	0.221980822347182	1	ENSG00000110092:ENSG00000170421:ENSG00000005243:ENSG00000136436:ENSG00000173868:ENSG00000167641:ENSG00000167644:ENSG00000118640:ENSG00000168899:ENSG00000091409:ENSG00000152256:ENSG00000083937:ENSG00000163611:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807
DEG.down	Brain_Cerebellum	2483	18	0.279271255830095	1	ENSG00000110092:ENSG00000170421:ENSG00000178852:ENSG00000005243:ENSG00000136436:ENSG00000167641:ENSG00000167644:ENSG00000118640:ENSG00000168899:ENSG00000091409:ENSG00000152256:ENSG00000083937:ENSG00000163611:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807
DEG.down	Brain_Cortex	4957	27	0.821332006146074	1	ENSG00000198625:ENSG00000110092:ENSG00000111057:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000136436:ENSG00000064300:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000125520:ENSG00000083937:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000180535:ENSG00000254087
