ensg	entrez	symbol
ENSG00000133056	5287	PIK3C2B
ENSG00000198625	4194	MDM4
ENSG00000170382	10446	LRRN2
ENSG00000115504	23301	EHBP1
ENSG00000115507	5013	OTX1
ENSG00000143951	51057	WDPCP
ENSG00000014641	4190	MDH1
ENSG00000168906	4144	MAT2A
ENSG00000115486	2677	GGCX
ENSG00000118640	8673	VAMP8
ENSG00000168899	10791	VAMP5
ENSG00000168894	51255	RNF181
ENSG00000091409	3655	ITGA6
ENSG00000152256	5163	PDK1
ENSG00000083937	25978	CHMP2B
ENSG00000064835	5449	POU1F1
ENSG00000206530	55779	WDR52
ENSG00000163611	152185	SPICE1
ENSG00000072858	54847	SIDT1
ENSG00000163558	5584	PRKCI
ENSG00000136603	6498	SKIL
ENSG00000013297	5010	CLDN11
ENSG00000163110	10611	PDLIM5
ENSG00000168769	54790	TET2
ENSG00000164362	7015	TERT
ENSG00000113430	50805	IRX4
ENSG00000043143	23338	JADE2
ENSG00000137166	116113	FOXP4
ENSG00000183807	221303	FAM162B
ENSG00000173612	222545	GPRC6A
ENSG00000185002	222546	RFX6
ENSG00000175003	6580	SLC22A1
ENSG00000153814	221895	JAZF1
ENSG00000164715	22853	LMTK2
ENSG00000180535	168620	BHLHA15
ENSG00000205356	25851	TECPR1
ENSG00000183117	64478	CSMD1
ENSG00000167034	4824	NKX3-1
ENSG00000206579	114786	XKR4
ENSG00000254087	4067	LYN
ENSG00000008988	6224	RPS20
ENSG00000181690	5324	PLAG1
ENSG00000212993	5462	POU5F1B
ENSG00000256655	641384	TMEM75
ENSG00000204169	653268	AGAP7
ENSG00000138294	4477	MSMB
ENSG00000180176	7054	TH
ENSG00000183734	430	ASCL2
ENSG00000110092	595	CCND1
ENSG00000149716	220064	ORAOV1
ENSG00000162344	9965	FGF19
ENSG00000170421	3856	KRT8
ENSG00000111057	3875	KRT18
ENSG00000141252	55275	VPS53
ENSG00000167695	79850	FAM57A
ENSG00000108753	6928	HNF1B
ENSG00000004897	996	CDC27
ENSG00000259207	3690	ITGB3
ENSG00000259753	3690	ITGB3
ENSG00000178852	124989	EFCAB13
ENSG00000141279	9520	NPEPPS
ENSG00000005243	51226	COPZ2
ENSG00000002919	29916	SNX11
ENSG00000141293	8631	SKAP1
ENSG00000120094	3211	HOXB1
ENSG00000173917	3212	HOXB2
ENSG00000120093	3213	HOXB3
ENSG00000182742	3214	HOXB4
ENSG00000108511	3216	HOXB6
ENSG00000260027	3217	HOXB7
ENSG00000120068	3218	HOXB8
ENSG00000159182	84366	PRAC1
ENSG00000159184	10481	HOXB13
ENSG00000170703	284076	TTLL6
ENSG00000136436	10241	CALCOCO2
ENSG00000159199	516	ATP5G1
ENSG00000159202	65264	UBE2Z
ENSG00000159210	11267	SNF8
ENSG00000167080	124872	B4GALNT2
ENSG00000173868	162466	PHOSPHO1
ENSG00000262039	NA	RP11-81K2.1
ENSG00000064300	4804	NGFR
ENSG00000121067	8405	SPOP
ENSG00000121104	81558	FAM117A
ENSG00000005884	3675	ITGA3
ENSG00000005882	5164	PDK2
ENSG00000011332	8193	DPF1
ENSG00000167642	10653	SPINT2
ENSG00000167641	94274	PPP1R14A
ENSG00000267748	NA	CTB-102L5.4
ENSG00000167644	64073	C19orf33
ENSG00000167645	90522	YIF1B
ENSG00000099338	57828	CATSPERG
ENSG00000099341	5714	PSMD8
ENSG00000179168	199720	GGN
ENSG00000188766	399473	SPRED3
ENSG00000174562	55554	KLK15
ENSG00000142515	354	KLK3
ENSG00000167751	3817	KLK2
ENSG00000101216	26205	GMEB2
ENSG00000197457	50861	STMN3
ENSG00000258366	51750	RTEL1
ENSG00000026036	100533107	RTEL1-TNFRSF6B
ENSG00000243509	8771	TNFRSF6B
ENSG00000101246	10139	ARFRP1
ENSG00000197114	84619	ZGPAT
ENSG00000273154	NA	RP4-583P15.15
ENSG00000203896	54923	LIME1
ENSG00000273047	NA	RP4-583P15.14
ENSG00000125520	56731	SLC2A4RG
ENSG00000130584	140685	ZBTB46
ENSG00000100290	638	BIK
