ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000133056	5287	PIK3C2B	PIK3C2B	602838	O00750	DB12010
ENSG00000198625	4194	MDM4	MDM4	602704	O15151	NA
ENSG00000170382	10446	LRRN2	LRRN2	605492	O75325	NA
ENSG00000204169	653268	AGAP7	AGAP7	NA	NA	NA
ENSG00000138294	4477	MSMB	MSMB	157145	NA	NA
ENSG00000180176	7054	TH	TH	191290	P07101	DB00120:DB00135:DB00360:DB00765:DB03552:DB04400
ENSG00000183734	430	ASCL2	ASCL2	601886	Q99929	NA
ENSG00000110092	595	CCND1	CCND1	168461	P24385	DB00945:DB01169:DB11718
ENSG00000149716	220064	ORAOV1	ORAOV1	607224	Q8WV07	NA
ENSG00000162344	9965	FGF19	FGF19	603891	O95750	DB01109
ENSG00000170421	3856	KRT8	KRT8	148060	P05787	DB00031:DB06245:DB09130
ENSG00000111057	3875	KRT18	KRT18	148070	P05783	NA
ENSG00000141252	55275	VPS53	VPS53	615850	Q5VIR6	NA
ENSG00000167695	79850	FAM57A	FAM57A	611627	Q8TBR7	NA
ENSG00000108753	6928	HNF1B	HNF1B	189907	NA	NA
ENSG00000004897	996	CDC27	CDC27	116946	P30260	NA
ENSG00000259207	3690	ITGB3	ITGB3	173470	P05106	DB00054:DB00063:DB00098:DB00451:DB00775:DB02709:DB04863:DB05787:DB06472
ENSG00000259753	3690	ITGB3	ITGB3	173470	NA	NA
ENSG00000178852	124989	EFCAB13	EFCAB13	NA	Q8IY85	NA
ENSG00000141279	9520	NPEPPS	NPEPPS	606793	P55786	DB11638:DB11781
ENSG00000005243	51226	COPZ2	COPZ2	615526	Q9P299	NA
ENSG00000002919	29916	SNX11	SNX11	614906	Q9Y5W9	NA
ENSG00000141293	8631	SKAP1	SKAP1	604969	Q86WV1	NA
ENSG00000120094	3211	HOXB1	HOXB1	142968	P14653	NA
ENSG00000173917	3212	HOXB2	HOXB2	142967	P14652	NA
ENSG00000120093	3213	HOXB3	HOXB3	142966	P14651	NA
ENSG00000182742	3214	HOXB4	HOXB4	142965	P17483	NA
ENSG00000108511	3216	HOXB6	HOXB6	142961	P17509	NA
ENSG00000260027	3217	HOXB7	HOXB7	142962	P09629	NA
ENSG00000120068	3218	HOXB8	HOXB8	142963	P17481	NA
ENSG00000159182	84366	PRAC1	PRAC1	609819	Q96KF2	NA
ENSG00000159184	10481	HOXB13	HOXB13	604607	Q92826	NA
ENSG00000170703	284076	TTLL6	TTLL6	610849	Q8N841	NA
ENSG00000136436	10241	CALCOCO2	CALCOCO2	604587	Q13137	NA
ENSG00000159199	516	ATP5G1	ATP5G1	603192	P05496	NA
ENSG00000159202	65264	UBE2Z	UBE2Z	611362	Q9H832	NA
ENSG00000159210	11267	SNF8	SNF8	610904	Q96H20	NA
ENSG00000167080	124872	B4GALNT2	B4GALNT2	111730	Q8NHY0	NA
ENSG00000173868	162466	PHOSPHO1	PHOSPHO1	NA	Q8TCT1	DB00122:DB14006
ENSG00000262039	NA	RP11-81K2.1	NA	NA	NA	NA
ENSG00000064300	4804	NGFR	NGFR	162010	P08138	NA
ENSG00000121067	8405	SPOP	SPOP	602650	O43791	NA
ENSG00000121104	81558	FAM117A	FAM117A	NA	Q9C073	NA
ENSG00000005884	3675	ITGA3	ITGA3	605025	P26006	NA
ENSG00000005882	5164	PDK2	PDK2	602525	Q15119	DB08608:DB08609:DB08610
ENSG00000011332	8193	DPF1	DPF1	601670	Q92782	NA
ENSG00000167642	10653	SPINT2	SPINT2	605124	O43291	NA
ENSG00000167641	94274	PPP1R14A	PPP1R14A	608153	Q96A00	NA
ENSG00000267748	NA	CTB-102L5.4	NA	NA	NA	NA
ENSG00000167644	64073	C19orf33	C19orf33	NA	Q9GZP8	NA
ENSG00000167645	90522	YIF1B	YIF1B	NA	Q5BJH7	NA
ENSG00000099338	57828	CATSPERG	CATSPERG	613452	Q6ZRH7	NA
ENSG00000099341	5714	PSMD8	PSMD8	617844	P48556	NA
ENSG00000179168	199720	GGN	GGN	609966	Q86UU5	NA
ENSG00000188766	399473	SPRED3	SPRED3	609293	Q2MJR0	NA
ENSG00000174562	55554	KLK15	KLK15	610601	Q9H2R5	NA
ENSG00000142515	354	KLK3	KLK3	176820	P07288	DB00834:DB04839
ENSG00000167751	3817	KLK2	KLK2	147960	P20151	NA
ENSG00000115504	23301	EHBP1	EHBP1	609922	Q8NDI1	NA
ENSG00000115507	5013	OTX1	OTX1	600036	P32242	NA
ENSG00000143951	51057	WDPCP	WDPCP	613580	O95876	NA
ENSG00000014641	4190	MDH1	MDH1	154200	P40925	DB00157:DB03461:DB11638
ENSG00000168906	4144	MAT2A	MAT2A	601468	P31153	DB00118
ENSG00000115486	2677	GGCX	GGCX	137167	P38435	DB00036:DB00055:DB00100:DB00142:DB00170:DB01022:DB01125:DB09332:DB13152
ENSG00000118640	8673	VAMP8	VAMP8	603177	Q9BV40	NA
ENSG00000168899	10791	VAMP5	VAMP5	607029	O95183	NA
ENSG00000168894	51255	RNF181	RNF181	612490	Q9P0P0	NA
ENSG00000091409	3655	ITGA6	ITGA6	147556	P23229	NA
ENSG00000152256	5163	PDK1	PDK1	602524	Q15118	DB07403:DB08809
ENSG00000101216	26205	GMEB2	GMEB2	607451	Q9UKD1	NA
ENSG00000197457	50861	STMN3	STMN3	608362	Q9NZ72	NA
ENSG00000258366	51750	RTEL1	RTEL1	608833	Q9NZ71	NA
ENSG00000026036	100533107	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B	NA	NA	NA
ENSG00000243509	8771	TNFRSF6B	TNFRSF6B	603361	O95407	NA
ENSG00000101246	10139	ARFRP1	ARFRP1	604699	Q13795	NA
ENSG00000197114	84619	ZGPAT	ZGPAT	NA	Q8N5A5	NA
ENSG00000273154	NA	RP4-583P15.15	NA	609809	NA	NA
ENSG00000203896	54923	LIME1	LIME1	609809	Q9H400	NA
ENSG00000273047	NA	RP4-583P15.14	NA	NA	NA	NA
ENSG00000125520	56731	SLC2A4RG	SLC2A4RG	609493	Q9NR83	NA
ENSG00000130584	140685	ZBTB46	ZBTB46	614639	Q86UZ6	NA
ENSG00000100290	638	BIK	BIK	603392	Q13323	NA
ENSG00000083937	25978	CHMP2B	CHMP2B	609512	Q9UQN3	NA
ENSG00000064835	5449	POU1F1	POU1F1	173110	P28069	NA
ENSG00000206530	55779	WDR52	WDR52	617559	Q96MT7	NA
ENSG00000163611	152185	SPICE1	SPICE1	613447	Q8N0Z3	NA
ENSG00000072858	54847	SIDT1	SIDT1	606816	Q9NXL6	NA
ENSG00000163558	5584	PRKCI	PRKCI	600539	P41743	DB03777:DB12010
ENSG00000136603	6498	SKIL	SKIL	165340	P12757	NA
ENSG00000013297	5010	CLDN11	CLDN11	601326	O75508	NA
ENSG00000163110	10611	PDLIM5	PDLIM5	605904	Q96HC4	NA
ENSG00000168769	54790	TET2	TET2	612839	Q6N021	NA
ENSG00000164362	7015	TERT	TERT	187270	O14746	DB00495:DB05036:DB12747
ENSG00000113430	50805	IRX4	IRX4	606199	P78413	NA
ENSG00000043143	23338	JADE2	JADE2	610515	Q9NQC1	NA
ENSG00000137166	116113	FOXP4	FOXP4	608924	Q8IVH2	NA
ENSG00000183807	221303	FAM162B	FAM162B	NA	Q5T6X4	NA
ENSG00000173612	222545	GPRC6A	GPRC6A	613572	Q5T6X5	NA
ENSG00000185002	222546	RFX6	RFX6	612659	Q8HWS3	NA
ENSG00000175003	6580	SLC22A1	SLC22A1	602607	O15245	NA
ENSG00000153814	221895	JAZF1	JAZF1	606246	Q86VZ6	NA
ENSG00000164715	22853	LMTK2	LMTK2	610989	Q8IWU2	NA
ENSG00000180535	168620	BHLHA15	BHLHA15	608606	Q7RTS1	NA
ENSG00000205356	25851	TECPR1	TECPR1	614781	Q7Z6L1	NA
ENSG00000183117	64478	CSMD1	CSMD1	608397	NA	NA
ENSG00000167034	4824	NKX3-1	NKX3-1	602041	Q99801	NA
ENSG00000206579	114786	XKR4	XKR4	NA	Q5GH76	NA
ENSG00000254087	4067	LYN	LYN	165120	P07948	DB01254:DB03023:DB06616:DB08901:DB09079:DB12010
ENSG00000008988	6224	RPS20	RPS20	603682	P60866	NA
ENSG00000181690	5324	PLAG1	PLAG1	603026	Q6DJT9	NA
ENSG00000212993	5462	POU5F1B	POU5F1B	615739	Q06416	NA
ENSG00000256655	641384	TMEM75	TMEM75	NA	NA	NA
