Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1554	12	0.259204234681818	1	ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000064300:ENSG00000167641:ENSG00000091409:ENSG00000130584:ENSG00000183807
DEG.up	Adrenal_Gland	1204	11	0.128951993198296	1	ENSG00000180176:ENSG00000141293:ENSG00000173917:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000167641:ENSG00000174562:ENSG00000197457:ENSG00000185002:ENSG00000153814
DEG.up	Bladder	728	4	0.668900677659283	1	ENSG00000170421:ENSG00000260027:ENSG00000121104:ENSG00000167641
DEG.up	Blood	1477	11	0.312277653268993	1	ENSG00000002919:ENSG00000141293:ENSG00000173868:ENSG00000121104:ENSG00000118640:ENSG00000203896:ENSG00000100290:ENSG00000072858:ENSG00000168769:ENSG00000175003:ENSG00000254087
DEG.up	Blood_Vessel	2139	15	0.351910183930559	1	ENSG00000110092:ENSG00000259207:ENSG00000178852:ENSG00000005243:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167641:ENSG00000188766:ENSG00000258366:ENSG00000083937:ENSG00000136603:ENSG00000163110:ENSG00000137166:ENSG00000153814
DEG.up	Brain	2348	9	0.964634618995184	1	ENSG00000170382:ENSG00000180176:ENSG00000141252:ENSG00000011332:ENSG00000188766:ENSG00000197457:ENSG00000072858:ENSG00000013297:ENSG00000183117
DEG.up	Breast	1428	11	0.274667702044629	1	ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000120068:ENSG00000064300:ENSG00000142515:ENSG00000091409:ENSG00000100290:ENSG00000163611:ENSG00000113430:ENSG00000183807
DEG.up	Cervix_Uteri	2514	18	0.29771217651238	1	ENSG00000198625:ENSG00000149716:ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000167645:ENSG00000115504:ENSG00000115486:ENSG00000091409:ENSG00000258366:ENSG00000101246:ENSG00000206530:ENSG00000163611:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000181690
DEG.up	Colon	1107	18	0.000159312886147201	0.00477938658441602	ENSG00000170382:ENSG00000170421:ENSG00000259207:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000159182:ENSG00000159184:ENSG00000170703:ENSG00000167080:ENSG00000174562:ENSG00000115504:ENSG00000100290:ENSG00000153814:ENSG00000206579
DEG.up	Esophagus	1008	7	0.438809043136501	1	ENSG00000170421:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000115504:ENSG00000100290:ENSG00000113430
DEG.up	Fallopian_Tube	451	2	0.774880325977631	1	ENSG00000260027:ENSG00000101216
DEG.up	Heart	458	1	0.944767564664319	1	ENSG00000163110
DEG.up	Kidney	963	16	0.000301452741071944	0.00904358223215831	ENSG00000170382:ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000170703:ENSG00000167080:ENSG00000005884:ENSG00000167642:ENSG00000118640:ENSG00000203896
DEG.up	Liver	1090	7	0.52164963908787	1	ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000115486:ENSG00000118640:ENSG00000203896:ENSG00000175003
DEG.up	Lung	3029	20	0.424073882076739	1	ENSG00000133056:ENSG00000110092:ENSG00000170421:ENSG00000111057:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000005884:ENSG00000167642:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115486:ENSG00000118640:ENSG00000243509:ENSG00000136603:ENSG00000168769:ENSG00000183807:ENSG00000205356:ENSG00000254087
DEG.up	Muscle	879	2	0.975544577987277	1	ENSG00000005882:ENSG00000163110
DEG.up	Nerve	4157	26	0.525213825150836	1	ENSG00000198625:ENSG00000170382:ENSG00000110092:ENSG00000178852:ENSG00000005243:ENSG00000260027:ENSG00000064300:ENSG00000005884:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000091409:ENSG00000243509:ENSG00000101246:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000013297:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000206579:ENSG00000181690
DEG.up	Ovary	3674	17	0.937090207864018	1	ENSG00000198625:ENSG00000149716:ENSG00000121104:ENSG00000167642:ENSG00000167641:ENSG00000115504:ENSG00000115486:ENSG00000152256:ENSG00000197457:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000013297:ENSG00000043143:ENSG00000181690
DEG.up	Pancreas	549	7	0.0555764861421844	1	ENSG00000170421:ENSG00000111057:ENSG00000167642:ENSG00000118640:ENSG00000185002:ENSG00000180535:ENSG00000205356
DEG.up	Pituitary	3253	21	0.46459540429639	1	ENSG00000170382:ENSG00000180176:ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000005884:ENSG00000167642:ENSG00000188766:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000203896:ENSG00000130584:ENSG00000064835:ENSG00000206530:ENSG00000163611:ENSG00000072858:ENSG00000136603:ENSG00000013297:ENSG00000205356:ENSG00000181690
DEG.up	Prostate	2019	22	0.0061457965356266	0.184373896068798	ENSG00000183734:ENSG00000110092:ENSG00000170421:ENSG00000111057:ENSG00000159182:ENSG00000159184:ENSG00000064300:ENSG00000167642:ENSG00000174562:ENSG00000142515:ENSG00000167751:ENSG00000118640:ENSG00000203896:ENSG00000100290:ENSG00000206530:ENSG00000163611:ENSG00000072858:ENSG00000163110:ENSG00000113430:ENSG00000137166:ENSG00000180535:ENSG00000167034
