annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	39	0.0115727002967359	1.24137334621612	0.177670681317421
UTR5	71546	0.00285251910856087	7	0.00207715133531157	0.728181392046667	0.516667452969574
downstream	284177	0.0113300579027968	36	0.0106824925816024	0.942845365244376	0.806936446910415
exonic	254736	0.0101562534263042	25	0.00741839762611276	0.730426596770367	0.12153608730565
intergenic	11684523	0.465858680176655	1588	0.471216617210682	1.0115012068295	0.534233368127649
intronic	9137749	0.364319509570527	820	0.243323442136499	0.667884743321424	4.36716614734958e-51
ncRNA_exonic	259951	0.0103641740249561	37	0.0109792284866469	1.05934428158093	0.670894531142913
ncRNA_intronic	2884355	0.114998431126451	779	0.231157270029674	2.01009064006704	5.80962747976282e-80
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	39	0.0115727002967359	1.08840689539623	0.556568180316636
