# TOTAL_GENES = 16725
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16725   0.00022666   0.00044995    0.0077494      0.48833 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16725   -0.0014078   -0.0027176    0.0080447      0.56946 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16725    0.0019613    0.0037657    0.0072486      0.39336 Adrenal_Gland
Artery_Aorta                        COVAR   16725     -0.01237    -0.025118    0.0073685      0.95339 Artery_Aorta
Artery_Coronary                     COVAR   16725     -0.01773    -0.035101    0.0085795      0.98061 Artery_Coronary
Artery_Tibial                       COVAR   16725   -0.0098623    -0.020214    0.0072214      0.91398 Artery_Tibial
Bladder                             COVAR   16725   -0.0036609   -0.0070893    0.0095402      0.64941 Bladder
Brain_Amygdala                      COVAR   16725   -0.0068432    -0.011572    0.0057461      0.88315 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16725   -0.0085865    -0.015058    0.0052793      0.94806 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16725   -0.0039416   -0.0067595    0.0057456      0.75365 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16725   -0.0036401   -0.0072674    0.0043803      0.79701 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16725   -0.0051878    -0.010243    0.0045176      0.87458 Brain_Cerebellum
Brain_Cortex                        COVAR   16725   -0.0082709    -0.014977    0.0051962      0.94427 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16725   -0.0070082    -0.012822    0.0050139       0.9189 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16725   -0.0056276   -0.0094575    0.0058322       0.8327 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16725   -0.0073891     -0.01262    0.0059383       0.8933 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16725   -0.0061266    -0.010554    0.0055518       0.8651 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16725    -0.004291   -0.0072513    0.0058001      0.77029 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16725    0.0026712    0.0047686    0.0062394      0.33428 Brain_Spinal_cord_cervical_c-1
