ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000133056	PIK3C2B	1	204391756	204463852	-1	protein_coding	5287	PIK3C2B	0.976238394768661	-0.577325806	30	21.9	5.36315069454e-09	rs7556371	1
ENSG00000198625	MDM4	1	204485511	204542871	1	protein_coding	4194	MDM4	0.998569577969579	-0.217586215	101	18.1	1.40472075743e-08	rs7556371;rs12757249	1
ENSG00000170382	LRRN2	1	204586298	204654861	-1	protein_coding	10446	LRRN2	0.220781250034657	-0.372141717	3	7.164	1.77512933086e-05	rs7556371	1
ENSG00000115504	EHBP1	2	62900986	63273622	1	protein_coding	23301	EHBP1	0.999748961950681	-0.554169843	8	22.3	7.1318138668e-14	rs58235267	2
ENSG00000115507	OTX1	2	63277192	63284971	1	protein_coding	5013	OTX1	0.219807903535165	-1.753229136	1	22.3	7.1318138668e-14	rs58235267	2
ENSG00000143951	WDPCP	2	63348518	64054977	-1	protein_coding	51057	WDPCP	2.32411054871015e-09	-0.884584249	172	18.29	2.51692340904e-08	rs11890276;rs72821624	2
ENSG00000014641	MDH1	2	63815743	63834331	1	protein_coding	4190	MDH1	0.982634617401256	-0.408839334	8	8.484	5.01325735912e-05	rs72821624	2
ENSG00000168906	MAT2A	2	85766288	85772403	1	protein_coding	4144	MAT2A	0.733230032010008	-1.056808714	28	17.95	5.89807105144e-09	rs368912301	3
ENSG00000115486	GGCX	2	85771846	85788670	-1	protein_coding	2677	GGCX	1.19797696730827e-08	-0.045096532	26	17.95	2.88569216304e-09	rs368912301	3
ENSG00000118640	VAMP8	2	85788685	85809154	1	protein_coding	8673	VAMP8	0.270489594281997	-0.056335469	27	18.89	1.34220854695e-09	rs368912301	3
ENSG00000168899	VAMP5	2	85811531	85820535	1	protein_coding	10791	VAMP5	0.0516197457018348	0.554615104	15	18.89	1.34220854695e-09	rs368912301	3
ENSG00000168894	RNF181	2	85822848	85824736	1	protein_coding	51255	RNF181	3.13991934782278e-09	-0.10549856	1	3.187	8.85992407047e-07	rs368912301	3
ENSG00000091409	ITGA6	2	173292082	173371181	1	protein_coding	3655	ITGA6	0.00991360284214048	-0.644628935	83	22.2	1.5346169828e-13	rs76733736;rs10187564	4
ENSG00000152256	PDK1	2	173420101	173489823	1	protein_coding	5163	PDK1	0.00465668929433836	0.308119047	3	3.172	1.94133283454e-12	rs10187564	4
ENSG00000083937	CHMP2B	3	87276421	87304698	1	protein_coding	25978	CHMP2B	0.0130803147575514	-0.213418267	11	19.38	9.86892844232e-08	rs79123511	5
ENSG00000064835	POU1F1	3	87308554	87325737	-1	protein_coding	5449	POU1F1	0.618818418545953	0.393077992	2	11	5.27703530802e-07	rs79123511	5
ENSG00000206530	WDR52	3	113005777	113160457	-1	protein_coding	55779	WDR52	4.18629122672432e-06	1.99338999	11	6.707	1.75877385093e-06	rs1567780	6
ENSG00000163611	SPICE1	3	113161565	113234034	-1	protein_coding	152185	SPICE1	5.13620862858274e-08	1.337101577	19	7.754	1.29936151645e-06	rs1567780	6
ENSG00000072858	SIDT1	3	113251143	113348425	1	protein_coding	54847	SIDT1	5.02880784411406e-13	-1.505301717	26	9.597	2.09237730115e-08	rs1567780	6
ENSG00000163558	PRKCI	3	169940153	170023769	1	protein_coding	5584	PRKCI	0.253553082477709	0.402803433	1	1.421	3.39132959622e-06	rs75982374	7
ENSG00000136603	SKIL	3	170075466	170114623	1	protein_coding	6498	SKIL	0.459267762614766	-0.709303378	6	10.27	1.82347578316e-16	rs62295839;rs75982374	7
ENSG00000013297	CLDN11	3	170136653	170578169	1	protein_coding	5010	CLDN11	0.32891224511477	0.013477029	2	2.14	6.67667136216e-08	rs75982374;rs62295839	7
ENSG00000163110	PDLIM5	4	95373037	95589377	1	protein_coding	10611	PDLIM5	0.0122782806115329	1.087414081	84	15.24	1.29020880084e-08	rs6853490	8
ENSG00000168769	TET2	4	106067032	106200973	1	protein_coding	54790	TET2	7.05368251291393e-26	-0.493869295	25	11.76	3.77050915833e-14	rs7679673	9
ENSG00000164362	TERT	5	1253262	1295184	-1	protein_coding	7015	TERT	0.866151189063377	NA	26	6.675	4.40149284287e-14	rs2242652;rs4449583;rs10866498;rs35029535;rs7449190;rs2736098	10
ENSG00000113430	IRX4	5	1877541	1887350	-1	protein_coding	50805	IRX4	0.25376901140337	NA	15	7.398	1.92663745952e-13	rs386684493;rs10866527	11
ENSG00000043143	JADE2	5	133860003	133918918	1	protein_coding	23338	JADE2	0.999310487478193	-1.349979505	2	1.309	6.5824868473e-08	rs1476097	12
ENSG00000137166	FOXP4	6	41514164	41570122	1	protein_coding	116113	FOXP4	0.671770825297787	-0.436538234	53	22.7	4.07849561771e-12	rs6917270	13
ENSG00000183807	FAM162B	6	117073363	117086886	-1	protein_coding	221303	FAM162B	0.000825834892494331	-0.499487886	11	4.539	1.72818407958e-05	rs9489065	14
ENSG00000173612	GPRC6A	6	117113248	117150200	-1	protein_coding	222545	GPRC6A	4.63567516085775e-14	-0.158299198	19	9.937	2.91313090094e-06	rs9489065	14
ENSG00000185002	RFX6	6	117198375	117253326	1	protein_coding	222546	RFX6	0.0300465226013637	0.022429681	74	17.59	4.15805280181e-08	rs9489065	14
ENSG00000175003	SLC22A1	6	160542821	160579750	1	protein_coding	6580	SLC22A1	1.23977716739769e-13	-0.158083671	2	8.824	3.98749360904e-22	rs651164;rs4646284	15
ENSG00000153814	JAZF1	7	27870192	28220362	-1	protein_coding	221895	JAZF1	0.958302381623798	-0.943258499	57	18.25	6.50129690343e-12	rs10486567;rs7787576;rs6969285;rs73086934	16
ENSG00000164715	LMTK2	7	97736197	97838945	1	protein_coding	22853	LMTK2	0.994402282503334	0.16744812	32	17.37	6.45966506027e-10	rs11768309;rs41278842	18
ENSG00000180535	BHLHA15	7	97840739	97842291	1	protein_coding	168620	BHLHA15	0.14284139616861	0.167585656	1	10.33	NA	rs11768309	18
ENSG00000205356	TECPR1	7	97843936	97881563	-1	protein_coding	25851	TECPR1	2.43068227306975e-07	-0.002393851	1	10.33	NA	rs11768309	18
ENSG00000183117	CSMD1	8	2792875	4852494	-1	protein_coding	64478	CSMD1	NA	NA	1	0.918	7.79058373808e-09	rs77965869	19
ENSG00000167034	NKX3-1	8	23536206	23540440	-1	protein_coding	4824	NKX3-1	0.000884340872180055	0.089144317	14	14.45	5.77430872714e-14	rs13262167;rs13277614	20
ENSG00000206579	XKR4	8	56014949	56454613	1	protein_coding	114786	XKR4	0.977591689560257	-1.184149636	1	8.642	0.0374317386559	rs149892036	21
ENSG00000254087	LYN	8	56792372	56923940	1	protein_coding	4067	LYN	0.995480464487175	NA	1	6.93	0.000198971099577	rs149892036	21
ENSG00000008988	RPS20	8	56979854	56987069	-1	protein_coding	6224	RPS20	0.686321059018356	1.568153288	1	4.617	0.00136665847854	rs149892036	21
ENSG00000181690	PLAG1	8	57073463	57123883	-1	protein_coding	5324	PLAG1	0.829917236319924	-1.103597026	1	1.405	1.59716579226e-06	rs149892036	21
ENSG00000212993	POU5F1B	8	128426535	128432311	1	protein_coding	5462	POU5F1B	7.27271426587485e-07	6.130544184	48	23.4	7.35359995475e-32	rs3847137;rs3847136;rs28774977;rs34886083;rs6998061;rs9297754;rs72712390;rs11993627;rs7842552	22
ENSG00000256655	TMEM75	8	128959126	128960591	-1	protein_coding	641384	TMEM75	NA	NA	1	0.404	NA	rs190915119	22
ENSG00000204169	AGAP7	10	51464162	51486327	-1	protein_coding	653268	AGAP7	NA	-0.133850997	53	15.15	9.06149802232e-19	rs1973123;rs61850063;rs12783102;rs10995905;rs146944434;rs76782576;rs10993994	24
ENSG00000138294	MSMB	10	51549498	51562517	1	protein_coding	4477	MSMB	0.0987031872923106	0.385768582	23	8	3.86722998119e-35	rs10993994;rs12783102;rs12777595;rs35292857;rs12770171	24
ENSG00000180176	TH	11	2185159	2193107	-1	protein_coding	7054	TH	0.00409874369425709	-0.499952719	25	7.52	2.60495364824e-14	rs72853903;rs67225004;rs11043048;rs11042984;rs11564709	25
ENSG00000183734	ASCL2	11	2289725	2292182	-1	protein_coding	430	ASCL2	0.388900409868869	NA	16	14.63	2.94781347661e-12	rs17248845;rs117895267;rs11021707;rs117600498	25
ENSG00000110092	CCND1	11	69455855	69469242	1	protein_coding	595	CCND1	0.238186361767522	-0.876019048	25	20.3	1.72929864029e-09	rs3862792	27
ENSG00000149716	ORAOV1	11	69467844	69490184	-1	protein_coding	220064	ORAOV1	0.0329902568453812	1.960339439	35	19.55	1.72929864029e-09	rs3862792	27
ENSG00000162344	FGF19	11	69513000	69519410	-1	protein_coding	9965	FGF19	0.294076907366963	-0.727218211	2	1.491	0.00361318334766	rs3862792	27
ENSG00000170421	KRT8	12	53290977	53343738	-1	protein_coding	3856	KRT8	5.61440512780514e-06	-0.026659828	18	14.77	2.08641165456e-12	rs73110464;rs11829997	28
ENSG00000111057	KRT18	12	53342655	53346685	1	protein_coding	3875	KRT18	0.62478258844471	NA	1	2.552	7.99834255007e-11	rs73110464	28
ENSG00000141252	VPS53	17	411908	624957	-1	protein_coding	55275	VPS53	4.99655044931933e-05	10.38778464	24	12.6	2.64021929134e-08	rs865702	29
ENSG00000167695	FAM57A	17	635652	646206	1	protein_coding	79850	FAM57A	0.0207651978444373	0.307286155	3	0.588	5.61435668133e-05	rs865702	29
ENSG00000108753	HNF1B	17	36046435	36105237	-1	protein_coding	6928	HNF1B	0.999286182382324	1.155682533	44	17.84	9.25337153478e-33	rs146723727;rs2002731;rs1016990;rs3744763;rs7405776;rs10908278;rs757211;rs9913260;rs67143603;rs7213769	30
ENSG00000004897	CDC27	17	45195069	45266788	-1	protein_coding	996	CDC27	0.486673202422918	-0.787143256	3	2.881	NA	rs554574584	31
ENSG00000259207	ITGB3	17	45331212	45421658	1	protein_coding	3690	ITGB3	0.141699544644917	-0.21470934	2	8.526	NA	rs554574584	31
ENSG00000259753	ITGB3	17	45331263	45421658	1	protein_coding	3690	ITGB3	NA	-0.21470934	2	8.526	NA	rs554574584	31
ENSG00000178852	EFCAB13	17	45400656	45518678	1	protein_coding	124989	EFCAB13	8.2199210022743e-19	-0.190444586	2	7.663	NA	rs554574584	31
ENSG00000141279	NPEPPS	17	45600308	45700642	1	protein_coding	9520	NPEPPS	0.999905920388338	-0.210177495	4	5.588	NA	rs554574584	31
ENSG00000005243	COPZ2	17	46103533	46115392	-1	protein_coding	51226	COPZ2	0.0017094888551626	NA	1	7.112	1.12227683835e-15	rs554574584	31
ENSG00000002919	SNX11	17	46180719	46200436	1	protein_coding	29916	SNX11	3.85654523915294e-05	0.140273457	1	1.168	1.18688871345e-07	rs573042067	31
ENSG00000141293	SKAP1	17	46210802	46507637	-1	protein_coding	8631	SKAP1	0.000301840236150372	NA	6	20.4	1.18688871345e-07	rs573042067;rs138213197;rs370406642	31
ENSG00000120094	HOXB1	17	46605888	46608359	-1	protein_coding	3211	HOXB1	0.115199709546097	-0.795581734	1	11.72	4.91937579585e-08	rs573042067	31
ENSG00000173917	HOXB2	17	46618256	46623441	-1	protein_coding	3212	HOXB2	0.00183830846418713	0.974079452	1	11.72	4.91937579585e-08	rs573042067	31
ENSG00000120093	HOXB3	17	46626232	46682274	-1	protein_coding	3213	HOXB3	0.610993265044198	-1.020697429	2	8.785	NA	rs554574584;rs370406642	31
ENSG00000182742	HOXB4	17	46652875	46657473	-1	protein_coding	3214	HOXB4	0.119746209572469	-1.090860829	1	6.935	NA	rs554574584	31
ENSG00000108511	HOXB6	17	46671639	46682354	-1	protein_coding	3216	HOXB6	0.00958340713523565	-0.016604333	1	8.785	NA	rs370406642	31
ENSG00000260027	HOXB7	17	46684594	46710934	-1	protein_coding	3217	HOXB7	0.00759639061323712	-0.376189201	1	8.785	NA	rs370406642	31
ENSG00000120068	HOXB8	17	46688739	46692478	-1	protein_coding	3218	HOXB8	0.444768417534794	NA	1	8.785	NA	rs370406642	31
ENSG00000159182	PRAC1	17	46799084	46799884	-1	protein_coding	84366	PRAC1	0.00177992300773383	0.106872825	2	27.9	8.82673320721e-33	rs138213197	31
ENSG00000159184	HOXB13	17	46802125	46806540	-1	protein_coding	10481	HOXB13	0.00987475094591023	-1.117551054	2	27.9	8.82673320721e-33	rs138213197	31
ENSG00000170703	TTLL6	17	46839597	46894576	-1	protein_coding	284076	TTLL6	7.4885844910963e-08	-0.209164671	3	9.864	4.60044666393e-11	rs554574584;rs138467395	31
