# ALPHA = 0.05
# NUMBER_OF_TESTS = 15483

# _SET1_  VARIABLE = GO_cc:go_smad_protein_complex (set)
# _SET1_  NGENES = 7
# _SET1_  P-VALUE = 8.10617e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM         N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000170365     4  146402346  146479231     35      24  54850040      0.39752   3.9645e-09   -4.1078e-15      0.39752
_SET1_   ENSG00000113658     5  135468534  135524435     16      12  54850040       1.8891   3.7413e-11   -3.9968e-15       1.8891
_SET1_   ENSG00000149948    12   66217911   66360075     38      27  54850040      0.56318   4.0285e-10   -4.1078e-15      0.56318
_SET1_   ENSG00000120693    13   37418968   37494902     39      30  54850040       1.5091   4.7862e-13   -3.9968e-15       1.5091
_SET1_   ENSG00000166949    15   67356101   67487533     58      42  54850040        1.829   7.7717e-16   -3.9968e-15        1.829
_SET1_   ENSG00000175387    18   45357922   45457515    158       7  54850040       1.7701   0.00037975   -3.9968e-15       1.7701
_SET1_   ENSG00000141646    18   48494410   48611415     65       6  54850040      0.47443   0.00052349   -4.1078e-15      0.47443

# _SET2_  VARIABLE = GO_mf:go_transforming_growth_factor_beta_receptor_pathway_specific_cytoplasmic_mediator_activity (set)
# _SET2_  NGENES = 5
# _SET2_  P-VALUE = 8.2575e-08
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM         N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000170365     4  146402346  146479231     35      24  54850040      0.39752   3.9645e-09   -4.1078e-15      0.39752
_SET2_   ENSG00000113658     5  135468534  135524435     16      12  54850040       1.8891   3.7413e-11   -3.9968e-15       1.8891
_SET2_   ENSG00000120693    13   37418968   37494902     39      30  54850040       1.5091   4.7862e-13   -3.9968e-15       1.5091
_SET2_   ENSG00000166949    15   67356101   67487533     58      42  54850040        1.829   7.7717e-16   -3.9968e-15        1.829
_SET2_   ENSG00000175387    18   45357922   45457515    158       7  54850040       1.7701   0.00037975   -3.9968e-15       1.7701
