GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs7556371	1	204516025	rs2290854	2013-08-02	23544013	Couch FJ	2013-03-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23544013	Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.	Breast Cancer in BRCA1 mutation carriers	1,426 European ancestry cases, 1,301 European ancestry controls	6,031 European ancestry cases, 5,933 European ancestry controls	1q32.1	MDM4	MDM4			ENSG00000198625			rs2290854-A	rs2290854	0	2290854	intron_variant	0	0.31	1E-7	7.0		1.13	[1.08-1.18]	Illumina [2568349] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2013-09-12	23535733	Garcia-Closas M	2013-04-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	4,193 European ancestry cases, 35,194 European ancestry controls	6,514 European ancestry cases, 41,455 European ancestry controls	1q32.1	LRRN2, PIK3C2B, MDM4	MDM4			ENSG00000198625			rs4245739-?	rs4245739	0	4245739	3_prime_UTR_variant	0	0.26	2E-12	11.698970004336019		1.14	[1.10-1.18]	Illumina [NR]	N
1	rs7556371	1	204518842	rs4245739	2013-09-16	23535732	Eeles RA	2013-04-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535732	Identification of 23 new prostate cancer susceptibility loci using the iCOGS custom genotyping array.	Prostate cancer	11,085 European ancestry cases, 11,463 European ancestry controls	19,662 European ancestry cases, 19,715 European ancestry controls	1q32.1	LRRN2, PIK3C2B, LOC127841, MDM4, PPP1R15B, PLEKHA6	MDM4			ENSG00000198625			rs4245739-A	rs4245739	0	4245739	3_prime_UTR_variant	0	0.75	2E-11	10.698970004336019		1.1	[1.05-1.14]	Illumina [~ 2600000] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2014-07-29	24325915	Purrington KS	2013-12-09	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24325915	Genome-wide association study identifies 25 known breast cancer susceptibility loci as risk factors for triple-negative breast cancer.	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	1,529 European ancestry cases, 3,399 European ancestry controls	2,148 European ancestry cases, 1,309 European ancestry controls	1q32.1	MDM4	MDM4			ENSG00000198625			rs4245739-C	rs4245739	0	4245739	3_prime_UTR_variant	0		4E-6	5.3979400086720375		1.19	[1.11-1.29]	Illumina [NR] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer	4,939 European ancestry estrogen receptor-negative cases, 14,352 European ancestry controls	7,333 European ancestry estrogen receptor-negative cases, 7,797 European ancestry BRCA1 mutation carrier cases, 7,455  European ancestry BRCA1 mutation carrier controls, 42,468 European ancestry controls	1q32.1	MDM4	MDM4			ENSG00000198625			rs4245739-?	rs4245739	0	4245739	3_prime_UTR_variant	0	0.28	8E-18	17.096910013008056		1.09	[1.05-1.14] (BRCA1 carriers)	Illumina [10909381] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	1q32.1	MDM4	MDM4			ENSG00000198625			rs4245739-?	rs4245739	0	4245739	3_prime_UTR_variant	0	0.26	6E-15	14.221848749616356		1.13	[1.11-1.19]	Illumina [10909381] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2017-12-19	29058716	Milne RL	2017-10-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29058716	Identification of ten variants associated with risk of estrogen-receptor-negative breast cancer.	Breast cancer (estrogen-receptor negative)	14,135 European ancestry cases, 58,126 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	1q32.1	MDM4	MDM4			ENSG00000198625			rs4245739-C	rs4245739	0	4245739	3_prime_UTR_variant	0	0.26	3E-23	22.522878745280337		1.14	[1.11-1.16]	Illumina [~ 11500000] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2018-08-14	29892016	Schumacher FR	2018-06-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29892016	Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.	Prostate cancer	79,148 European ancestry cases, 61,106 European ancestry controls	NA	1q32.1	NR	MDM4			ENSG00000198625			rs4245739-A	rs4245739	0	4245739	3_prime_UTR_variant	0	0.74	3E-24	23.522878745280337		1.1	[1.08-1.12]	Illumina [20370935] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2018-09-05	29455858	Sung YJ	2018-02-15	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/29455858	A Large-Scale Multi-ancestry Genome-wide Study Accounting for Smoking Behavior Identifies Multiple Significant Loci for Blood Pressure.	Diastolic blood pressure (cigarette smoking interaction)	80,552 European ancestry individuals, 27,118 African individuals, 13,438 Asian individuals, 8,805 Hispanic individuals	305,513 European ancestry individuals, 7,786 African individuals, 148,932 Asian individuals, 13,533 Hispanic individuals, 4,414 Brazilian individuals	1q32.1	MDM4	MDM4			ENSG00000198625			rs4245739-?	rs4245739	0	4245739	3_prime_UTR_variant	0		2E-9	8.698970004336019				Affymetrix, Illumina [18800000] (imputed)	N
1	rs7556371	1	204518842	rs4245739	2018-09-14	27618452	Ehret GB	2016-09-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27618452	The genetics of blood pressure regulation and its target organs from association studies in 342,415 individuals.	Diastolic blood pressure	up to 201,529 European ancestry individuals	up to 140,886 European ancestry individuals	1q32.1	MDM4	MDM4			ENSG00000198625			rs4245739-A	rs4245739	0	4245739	3_prime_UTR_variant	0	0.737	5E-9	8.301029995663981		0.243	[0.16-0.32] mm Hg increase	Affymetrix, Illumina, Perlegen [128272]	N
