GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000237683	1	134901	139379	2	1	54850040	2.2081	0.01362	AL627309.1
ENSG00000269831	1	738532	739137	2	1	54850040	2.862	0.002105	AL669831.1
ENSG00000269308	1	818043	819983	1	1	54850040	1.6623	0.04823	AL645608.2
ENSG00000187634	1	860260	879955	15	10	54850040	4.7771	8.8917e-07	SAMD11
ENSG00000268179	1	861264	866445	6	4	54850040	3.4094	0.00032552	AL645608.1
ENSG00000188976	1	879584	894689	6	4	54850040	3.8423	6.0943e-05	NOC2L
ENSG00000187961	1	895967	901095	4	2	54850040	3.2922	0.00049696	KLHL17
ENSG00000187583	1	901877	911245	5	3	54850040	3.2911	0.00049901	PLEKHN1
ENSG00000188290	1	934342	935552	1	1	54850040	1.312	0.094763	HES4
ENSG00000187608	1	948803	949920	1	1	54850040	1.6995	0.044617	ISG15
ENSG00000188157	1	955503	991496	37	12	54850040	2.9525	0.0015761	AGRN
ENSG00000237330	1	1006346	1009687	3	2	54850040	3.3481	0.00040686	RNF223
ENSG00000131591	1	1017198	1051741	26	19	54850040	5.9515	1.3283e-09	C1orf159
ENSG00000162571	1	1109264	1133315	38	8	54850040	2.6628	0.0038743	TTLL10
ENSG00000186891	1	1138888	1142071	1	1	54850040	1.3358	0.090805	TNFRSF18
ENSG00000078808	1	1152288	1167411	7	5	54850040	4.4338	4.6296e-06	SDF4
ENSG00000176022	1	1167629	1170421	1	1	54850040	1.671	0.047362	B3GALT6
ENSG00000184163	1	1177826	1182102	5	2	54850040	2.1992	0.013934	FAM132A
ENSG00000160087	1	1189289	1209265	11	8	54850040	4.3352	7.282e-06	UBE2J2
ENSG00000162572	1	1215816	1227409	14	8	54850040	4.0782	2.2694e-05	SCNN1D
ENSG00000131584	1	1227756	1244989	16	6	54850040	2.669	0.0038036	ACAP3
ENSG00000169972	1	1243947	1247057	2	1	54850040	1.7243	0.042325	PUSL1
ENSG00000127054	1	1246965	1260071	13	8	54850040	4.1056	2.0165e-05	CPSF3L
ENSG00000224051	1	1260136	1264277	2	1	54850040	2.5225	0.0058269	GLTPD1
ENSG00000169962	1	1266694	1270686	6	4	54850040	4.8664	5.6826e-07	TAS1R3
ENSG00000107404	1	1270656	1284730	10	7	54850040	4.2768	9.4781e-06	DVL1
ENSG00000162576	1	1288069	1297157	10	5	54850040	3.6718	0.00012043	MXRA8
ENSG00000175756	1	1309110	1310875	1	1	54850040	2.1684	0.015064	AURKAIP1
ENSG00000221978	1	1321091	1334708	12	7	54850040	3.8336	6.3135e-05	CCNL2
ENSG00000242485	1	1337288	1342693	5	2	54850040	1.9465	0.025798	MRPL20
ENSG00000235098	1	1353800	1357149	2	1	54850040	2.2028	0.013803	ANKRD65
ENSG00000205116	1	1361508	1363167	1	1	54850040	2.1007	0.017835	TMEM88B
ENSG00000179403	1	1370241	1378262	4	2	54850040	2.1614	0.015332	VWA1
ENSG00000215915	1	1385069	1405538	8	5	54850040	3.1256	0.00088726	ATAD3C
ENSG00000160072	1	1407143	1433228	42	5	54850040	2.2611	0.011877	ATAD3B
ENSG00000197785	1	1447531	1470067	22	11	54850040	3.6254	0.00014424	ATAD3A
ENSG00000205090	1	1470554	1475833	3	2	54850040	2.9336	0.001675	TMEM240
ENSG00000160075	1	1477053	1510249	16	11	54850040	5.0311	2.4381e-07	SSU72
ENSG00000228594	1	1533392	1535476	1	1	54850040	2.0456	0.020398	C1orf233
ENSG00000197530	1	1550795	1565990	14	5	54850040	3.1156	0.00091791	MIB2
ENSG00000248333	1	1570603	1590473	13	9	54850040	4.8205	7.1582e-07	CDK11B
ENSG00000189339	1	1592939	1624167	13	6	54850040	2.905	0.0018363	SLC35E2B
ENSG00000008128	1	1634169	1655766	19	7	54850040	2.9006	0.0018625	CDK11A
ENSG00000215790	1	1656277	1677431	9	6	54850040	3.4976	0.00023476	SLC35E2
ENSG00000008130	1	1682671	1711896	12	8	54850040	4.6023	2.0896e-06	NADK
ENSG00000078369	1	1716729	1822495	50	16	54850040	3.3869	0.00035347	GNB1
ENSG00000142609	1	1853396	1935276	77	34	54850040	4.4675	3.9565e-06	C1orf222
ENSG00000187730	1	1950780	1962192	11	6	54850040	2.8752	0.0020186	GABRD
ENSG00000067606	1	1981909	2116834	70	46	54850040	7.6073	1.3989e-14	PRKCZ
ENSG00000162585	1	2115903	2144159	14	10	54850040	5.4518	2.4927e-08	C1orf86
ENSG00000203301	1	2143360	2145620	3	2	54850040	2.3914	0.0083916	AL590822.1
ENSG00000157933	1	2160134	2241558	55	37	54850040	6.6741	1.2439e-11	SKI
ENSG00000116151	1	2252692	2323146	124	18	54850040	3.0131	0.0012928	MORN1
ENSG00000269753	1	2258581	2259042	2	1	54850040	2.7807	0.0027119	AL589739.1
ENSG00000157916	1	2323267	2336883	1	1	54850040	1.7394	0.040985	RER1
ENSG00000157911	1	2336236	2345236	5	3	54850040	2.8227	0.0023814	PEX10
